Hero,Played,Win,Lost,Winrate,Teamplayed
Tiny,35,18,17,51.43,40.23
Razor,26,14,12,53.85,29.89
Queen of Pain,25,17,8,68.0,28.74
Mars,25,15,10,60.0,28.74
Puck,25,15,10,60.0,28.74
Batrider,22,12,10,54.55,25.29
Chen,21,14,7,66.67,24.14
Monkey King,21,9,12,42.86,24.14
Enigma,20,10,10,50.0,22.99
Enchantress,19,8,11,42.11,21.84
Templar Assassin,18,9,9,50.0,20.69
Faceless Void,18,8,10,44.44,20.69
Pudge,17,9,8,52.94,19.54
Winter Wyvern,17,9,8,52.94,19.54
Dark Willow,15,13,2,86.67,17.24
Dawnbreaker,15,6,9,40.0,17.24
Snapfire,15,5,10,33.33,17.24
Tusk,14,6,8,42.86,16.09
Hoodwink,14,5,9,35.71,16.09
Dazzle,13,5,8,38.46,14.94
Rubick,13,5,8,38.46,14.94
Sven,12,8,4,66.67,13.79
Nyx Assassin,12,6,6,50.0,13.79
Keeper of the Light,12,4,8,33.33,13.79
Timbersaw,12,4,8,33.33,13.79
Ogre Magi,12,3,9,25.0,13.79
Ember Spirit,11,8,3,72.73,12.64
Kunkka,11,7,4,63.64,12.64
Phantom Assassin,11,7,4,63.64,12.64
Bloodseeker,11,6,5,54.55,12.64
Invoker,11,5,6,45.45,12.64
Pangolier,11,5,6,45.45,12.64
Visage,11,5,6,45.45,12.64
Alchemist,10,8,2,80.0,11.49
Bristleback,10,5,5,50.0,11.49
Phoenix,10,3,7,30.0,11.49
Undying,9,7,2,77.78,10.34
Earthshaker,9,6,3,66.67,10.34
Clockwerk,9,5,4,55.56,10.34
Centaur Warrunner,9,3,6,33.33,10.34
Viper,8,6,2,75.0,9.2
Death Prophet,8,3,5,37.5,9.2
Beastmaster,7,4,3,57.14,8.05
Elder Titan,7,4,3,57.14,8.05
Techies,7,3,4,42.86,8.05
Void Spirit,7,3,4,42.86,8.05
Io,7,1,6,14.29,8.05
Weaver,7,1,6,14.29,8.05
Mirana,6,4,2,66.67,6.9
Grimstroke,6,3,3,50.0,6.9
Lycan,6,3,3,50.0,6.9
Doom,6,2,4,33.33,6.9
Earth Spirit,6,2,4,33.33,6.9
Storm Spirit,6,2,4,33.33,6.9
Ursa,6,2,4,33.33,6.9
Marci,5,5,0,100.0,5.75
Bane,5,4,1,80.0,5.75
Terrorblade,5,3,2,60.0,5.75
Tidehunter,5,3,2,60.0,5.75
Chaos Knight,5,2,3,40.0,5.75
Skywrath Mage,5,2,3,40.0,5.75
Zeus,5,1,4,20.0,5.75
Slark,4,4,0,100.0,4.6
Ancient Apparition,4,3,1,75.0,4.6
Shadow Demon,4,3,1,75.0,4.6
Shadow Fiend,4,3,1,75.0,4.6
Abaddon,4,2,2,50.0,4.6
Brewmaster,4,2,2,50.0,4.6
Omniknight,4,2,2,50.0,4.6
Troll Warlord,4,2,2,50.0,4.6
Lina,4,1,3,25.0,4.6
Lone Druid,4,1,3,25.0,4.6
Morphling,4,1,3,25.0,4.6
Primal Beast,4,1,3,25.0,4.6
Warlock,4,1,3,25.0,4.6
Huskar,3,3,0,100.0,3.45
Night Stalker,3,3,0,100.0,3.45
Axe,3,2,1,66.67,3.45
Crystal Maiden,3,1,2,33.33,3.45
Nature's Prophet,3,1,2,33.33,3.45
Oracle,3,1,2,33.33,3.45
Shadow Shaman,3,1,2,33.33,3.45
Sniper,3,1,2,33.33,3.45
Medusa,3,0,3,0.0,3.45
Dragon Knight,2,1,1,50.0,2.3
Lion,2,1,1,50.0,2.3
Luna,2,1,1,50.0,2.3
Sand King,2,1,1,50.0,2.3
Treant Protector,2,1,1,50.0,2.3
Venomancer,2,1,1,50.0,2.3
Juggernaut,2,0,2,0.0,2.3
Legion Commander,2,0,2,0.0,2.3
Lifestealer,2,0,2,0.0,2.3
Windranger,2,0,2,0.0,2.3
Wraith King,2,0,2,0.0,2.3
Arc Warden,1,1,0,100.0,1.15
Dark Seer,1,1,0,100.0,1.15
Magnus,1,1,0,100.0,1.15
Outworld Destroyer,1,1,0,100.0,1.15
Underlord,1,1,0,100.0,1.15
Witch Doctor,1,1,0,100.0,1.15
Broodmother,1,0,1,0.0,1.15
Disruptor,1,0,1,0.0,1.15
Jakiro,1,0,1,0.0,1.15
Leshrac,1,0,1,0.0,1.15
Necrophos,1,0,1,0.0,1.15
Phantom Lancer,1,0,1,0.0,1.15
Slardar,1,0,1,0.0,1.15
Spectre,1,0,1,0.0,1.15
Spirit Breaker,1,0,1,0.0,1.15
Anti-Mage,0,0,0,0.0,0.0
Meepo,0,0,0,0.0,0.0
Naga Siren,0,0,0,0.0,0.0
Riki,0,0,0,0.0,0.0
