Hero,Played,Win,Lost,Winrate
Tiny,15,6,9,40.0
Razor,14,6,8,42.86
Queen of Pain,12,8,4,66.67
Mars,11,7,4,63.64
Puck,16,8,8,50.0
Batrider,14,8,6,57.14
Chen,7,4,3,57.14
Monkey King,9,4,5,44.44
Enigma,8,4,4,50.0
Enchantress,7,4,3,57.14
Templar Assassin,11,6,5,54.55
Faceless Void,10,5,5,50.0
Pudge,8,5,3,62.5
Winter Wyvern,10,4,6,40.0
Dark Willow,6,5,1,83.33
Dawnbreaker,7,1,6,14.29
Snapfire,11,4,7,36.36
Tusk,11,6,5,54.55
Hoodwink,4,1,3,25.0
Dazzle,10,3,7,30.0
Rubick,10,4,6,40.0
Sven,6,4,2,66.67
Nyx Assassin,5,2,3,40.0
Keeper of the Light,5,0,5,0.0
Timbersaw,8,3,5,37.5
Ogre Magi,10,3,7,30.0
Ember Spirit,4,3,1,75.0
Kunkka,5,2,3,40.0
Phantom Assassin,6,3,3,50.0
Bloodseeker,5,1,4,20.0
Invoker,2,0,2,0.0
Pangolier,5,3,2,60.0
Visage,4,1,3,25.0
Alchemist,4,2,2,50.0
Bristleback,5,2,3,40.0
Phoenix,2,2,0,100.0
Undying,4,3,1,75.0
Earthshaker,1,1,0,100.0
Clockwerk,6,3,3,50.0
Centaur Warrunner,6,2,4,33.33
Viper,2,0,2,0.0
Death Prophet,3,1,2,33.33
Beastmaster,3,1,2,33.33
Elder Titan,3,2,1,66.67
Techies,4,1,3,25.0
Void Spirit,2,1,1,50.0
Io,5,1,4,20.0
Weaver,6,1,5,16.67
Mirana,4,2,2,50.0
Grimstroke,1,0,1,0.0
Lycan,4,2,2,50.0
Doom,2,0,2,0.0
Earth Spirit,2,0,2,0.0
Storm Spirit,3,1,2,33.33
Ursa,3,2,1,66.67
Marci,3,3,0,100.0
Bane,1,1,0,100.0
Terrorblade,3,1,2,33.33
Tidehunter,5,3,2,60.0
Chaos Knight,4,1,3,25.0
Skywrath Mage,3,1,2,33.33
Zeus,1,1,0,100.0
Slark,2,2,0,100.0
Ancient Apparition,2,1,1,50.0
Shadow Demon,2,2,0,100.0
Shadow Fiend,1,1,0,100.0
Abaddon,2,1,1,50.0
Brewmaster,3,1,2,33.33
Omniknight,0,0,0,0.0
Troll Warlord,2,1,1,50.0
Lina,3,1,2,33.33
Lone Druid,1,1,0,100.0
Morphling,1,0,1,0.0
Primal Beast,2,0,2,0.0
Warlock,3,0,3,0.0
Huskar,2,2,0,100.0
Night Stalker,0,0,0,0.0
Axe,1,1,0,100.0
Crystal Maiden,3,1,2,33.33
Nature's Prophet,2,1,1,50.0
Oracle,1,1,0,100.0
Shadow Shaman,3,1,2,33.33
Sniper,2,1,1,50.0
Medusa,2,0,2,0.0
Dragon Knight,1,0,1,0.0
Lion,1,1,0,100.0
Luna,2,1,1,50.0
Sand King,1,1,0,100.0
Treant Protector,1,1,0,100.0
Venomancer,2,1,1,50.0
Juggernaut,1,0,1,0.0
Legion Commander,1,0,1,0.0
Lifestealer,1,0,1,0.0
Windranger,2,0,2,0.0
Wraith King,1,0,1,0.0
Arc Warden,1,1,0,100.0
Dark Seer,0,0,0,0.0
Magnus,0,0,0,0.0
Outworld Destroyer,0,0,0,0.0
Underlord,1,1,0,100.0
Witch Doctor,1,1,0,100.0
Broodmother,0,0,0,0.0
Disruptor,0,0,0,0.0
Jakiro,0,0,0,0.0
Leshrac,0,0,0,0.0
Necrophos,0,0,0,0.0
Phantom Lancer,1,0,1,0.0
Slardar,1,0,1,0.0
Spectre,0,0,0,0.0
Spirit Breaker,1,0,1,0.0
Anti-Mage,0,0,0,0.0
Meepo,0,0,0,0.0
Naga Siren,0,0,0,0.0
Riki,0,0,0,0.0
